tx_id,tx_type,strategy,selected_strategy,payload_bytes,cross_border,end_to_end_latency_ms,security_score,running_mean_latency_ms
283,Transfer,adaptive,static_hybrid,155,False,8.818,82.93,112.002
284,IssueCBDC,adaptive,static_hybrid,330,False,10.160,81.36,111.644
285,SettleCrossBorder,adaptive,ml_optimized,327,True,222.539,85.53,112.033
286,Transfer,adaptive,static_hybrid,272,False,10.000,82.79,111.676
287,Transfer,adaptive,static_hybrid,185,False,9.457,82.02,111.320
288,SettleCrossBorder,adaptive,ml_optimized,386,True,267.221,81.72,111.861
289,SettleCrossBorder,adaptive,ml_optimized,289,True,304.841,85.79,112.529
290,Transfer,adaptive,static_hybrid,314,False,10.832,82.20,112.178
291,Transfer,adaptive,static_hybrid,279,False,9.869,82.41,111.827
292,Transfer,adaptive,ml_optimized,208,True,199.678,82.51,112.128
293,SettleCrossBorder,adaptive,ml_optimized,433,True,204.896,82.47,112.444
294,Transfer,adaptive,ml_optimized,219,True,248.567,82.01,112.907
295,IssueCBDC,adaptive,static_hybrid,312,False,9.966,83.42,112.558
296,Transfer,adaptive,static_hybrid,314,False,9.901,81.04,112.212
297,SettleCrossBorder,adaptive,ml_optimized,515,True,187.017,83.35,112.463
298,SettleCrossBorder,adaptive,ml_optimized,402,True,206.369,83.19,112.779
299,Transfer,adaptive,static_hybrid,230,False,9.478,82.80,112.433
300,IssueCBDC,adaptive,static_hybrid,379,False,9.979,82.80,112.092
301,IssueCBDC,adaptive,static_hybrid,240,False,9.875,81.55,111.752
302,Transfer,adaptive,static_hybrid,209,False,9.727,81.26,111.414
303,IssueCBDC,adaptive,static_hybrid,160,False,9.648,81.86,111.078
304,SettleCrossBorder,adaptive,ml_optimized,278,True,241.111,83.85,111.506
305,SettleCrossBorder,adaptive,ml_optimized,375,True,259.433,81.45,111.991
306,Transfer,adaptive,static_hybrid,203,False,9.802,83.27,111.657
307,Transfer,adaptive,static_hybrid,201,False,10.008,81.39,111.326
308,IssueCBDC,adaptive,static_hybrid,205,False,8.995,82.57,110.994
309,Transfer,adaptive,ml_optimized,255,True,221.309,82.35,111.351
310,SettleCrossBorder,adaptive,ml_optimized,360,True,188.132,85.28,111.598
311,IssueCBDC,adaptive,static_hybrid,301,False,9.721,83.42,111.271
312,SettleCrossBorder,adaptive,ml_optimized,476,True,263.240,84.12,111.758
313,IssueCBDC,adaptive,static_hybrid,237,False,9.687,82.84,111.432
314,IssueCBDC,adaptive,static_hybrid,320,False,10.121,81.29,111.109
315,Transfer,adaptive,static_hybrid,212,False,9.759,83.32,110.787
316,Transfer,adaptive,ml_optimized,217,True,244.582,82.44,111.211
317,Transfer,adaptive,static_hybrid,245,False,9.421,83.25,110.890
318,IssueCBDC,adaptive,static_hybrid,273,False,9.566,83.38,110.571
319,SettleCrossBorder,adaptive,ml_optimized,301,True,255.111,83.18,111.024
320,IssueCBDC,adaptive,static_hybrid,277,False,9.819,81.85,110.708
321,Transfer,adaptive,ml_optimized,190,True,259.013,84.59,111.170
322,SettleCrossBorder,adaptive,ml_optimized,366,True,218.004,83.58,111.502
323,SettleCrossBorder,adaptive,ml_optimized,328,True,180.555,83.67,111.715
324,Transfer,adaptive,static_hybrid,282,False,10.139,83.07,111.402
325,SettleCrossBorder,adaptive,ml_optimized,481,True,239.182,83.53,111.795
326,Transfer,adaptive,static_hybrid,206,False,9.576,82.35,111.482
327,SettleCrossBorder,adaptive,ml_optimized,460,True,186.832,83.61,111.712
328,SettleCrossBorder,adaptive,ml_optimized,445,True,208.851,83.79,112.008
329,Transfer,adaptive,ml_optimized,321,True,226.517,83.10,112.356
330,Transfer,adaptive,static_hybrid,213,False,9.466,81.76,112.044
331,SettleCrossBorder,adaptive,ml_optimized,458,True,319.231,80.69,112.670
332,Transfer,adaptive,static_hybrid,195,False,9.243,82.72,112.359
333,IssueCBDC,adaptive,static_hybrid,327,False,10.318,82.88,112.052
334,SettleCrossBorder,adaptive,ml_optimized,356,True,215.914,85.34,112.363
335,Transfer,adaptive,ml_optimized,286,True,267.261,83.92,112.826
336,Transfer,adaptive,ml_optimized,207,True,122.642,84.80,112.855
337,SettleCrossBorder,adaptive,ml_optimized,378,True,228.802,84.07,113.199
338,Transfer,adaptive,static_hybrid,223,False,9.374,81.81,112.892
339,Transfer,adaptive,ml_optimized,184,True,159.975,83.92,113.031
340,IssueCBDC,adaptive,static_hybrid,284,False,10.264,82.75,112.728
341,SettleCrossBorder,adaptive,ml_optimized,291,True,292.210,83.95,113.255
342,SettleCrossBorder,adaptive,ml_optimized,293,True,228.415,82.91,113.592
343,Transfer,adaptive,static_hybrid,275,False,9.777,81.31,113.289
344,IssueCBDC,adaptive,static_hybrid,224,False,9.810,82.66,112.988
345,Transfer,adaptive,static_hybrid,198,False,9.458,82.32,112.688
346,Transfer,adaptive,static_hybrid,194,False,10.043,83.36,112.391
347,IssueCBDC,adaptive,static_hybrid,264,False,10.134,81.71,112.097
